transaction_id,customer_id,transaction_date,amount,transaction_type,city,device_type,hour,is_fraud,fraud_type
1,4175,2026-04-18,2510.7,UPI,Bangalore,Mobile,7,0,None
2,4508,2026-03-16,38381.9,UPI,Mumbai,Mobile,10,0,None
3,1861,2026-03-03,1875.32,Net Banking,Ahmedabad,ATM,22,0,None
4,2295,2026-05-13,795.53,Net Banking,Kolkata,Mobile,6,0,None
5,2131,2026-04-05,5153.72,Card,Kolkata,Mobile,5,0,None
6,2096,2026-01-24,829.03,UPI,Delhi,Mobile,8,0,None
7,4773,2026-03-04,16936.9,UPI,Mumbai,Mobile,3,0,None
8,4093,2026-04-07,2008.5,Card,Mumbai,Laptop,13,0,None
9,2639,2026-04-01,1643.79,UPI,Kolkata,Laptop,20,0,None
10,3170,2026-03-08,5061.32,Net Banking,Pune,Mobile,14,0,None
11,1467,2026-03-16,3279.88,UPI,Mumbai,Mobile,18,0,None
12,2239,2026-02-19,6325.53,Card,Kolkata,Mobile,18,0,None
13,1331,2026-06-11,8279.22,UPI,Kolkata,ATM,15,0,None
14,2483,2026-03-03,3954.91,Card,Pune,Laptop,11,0,None
15,3136,2026-06-29,1538.48,Card,Mumbai,ATM,23,0,None
16,4445,2026-05-17,10203.73,UPI,Chennai,Mobile,9,0,None
17,4172,2026-03-21,2456.74,UPI,Hyderabad,ATM,5,0,None
18,3920,2026-03-16,2060.93,Card,Pune,Mobile,17,0,None
19,4736,2026-05-09,5668.39,Net Banking,Ahmedabad,Mobile,18,0,None
20,1131,2026-01-01,714.32,Card,Chennai,Mobile,7,0,None
21,2686,2026-03-15,7265.38,UPI,Bangalore,Mobile,14,0,None
22,4381,2026-02-16,5977.53,ATM,Chennai,Mobile,4,0,None
23,1770,2026-03-28,15090.48,UPI,Chennai,Mobile,12,0,None
24,3392,2026-05-18,2979.79,UPI,Mumbai,Mobile,13,0,None
25,2516,2026-01-23,18487.16,UPI,Bangalore,Laptop,14,0,None
26,4486,2026-05-01,8346.88,UPI,Bangalore,Mobile,1,0,None
27,3854,2026-02-06,4784.85,UPI,Ahmedabad,Mobile,18,0,None
28,3434,2026-03-06,30233.2,ATM,Ahmedabad,Mobile,1,1,Card Fraud
29,2216,2026-05-20,5405.72,UPI,Delhi,Mobile,4,0,None
30,1956,2026-05-12,2926.71,Card,Mumbai,ATM,4,0,None
31,3325,2026-04-19,5562.71,UPI,Chennai,Mobile,21,1,Card Fraud
32,2185,2026-05-17,2867.03,Card,Delhi,Mobile,1,0,None
33,1460,2026-02-24,7141.28,UPI,Delhi,Mobile,16,0,None
34,4386,2026-01-09,18410.7,UPI,Pune,Mobile,6,0,None
35,1022,2026-06-24,4875.59,UPI,Kolkata,Laptop,22,0,None
36,3301,2026-04-21,5378.36,UPI,Ahmedabad,ATM,9,0,None
37,1748,2026-05-11,10914.32,UPI,Kolkata,Mobile,21,0,None
38,3905,2026-02-03,16110.72,Card,Kolkata,Mobile,14,0,None
39,4633,2026-06-25,3125.55,UPI,Chennai,Mobile,17,0,None
40,1475,2026-03-04,5839.12,UPI,Kolkata,Laptop,7,0,None
41,2083,2026-06-19,10962.79,UPI,Bangalore,Laptop,3,0,None
42,3559,2026-02-09,6835.96,Card,Mumbai,Mobile,10,0,None
43,4754,2026-06-17,763.5,Card,Ahmedabad,ATM,6,0,None
44,3048,2026-02-26,13130.95,Card,Mumbai,Mobile,15,0,None
45,4548,2026-06-24,8290.63,Net Banking,Chennai,Mobile,23,0,None
46,3748,2026-01-21,8901.27,Net Banking,Kolkata,ATM,22,0,None
47,1976,2026-05-30,1491.96,UPI,Mumbai,Laptop,2,0,None
48,2807,2026-01-31,5723.81,UPI,Ahmedabad,Mobile,23,0,None
49,1190,2026-05-04,11422.56,Net Banking,Hyderabad,Mobile,19,0,None
50,4006,2026-02-06,2037.38,UPI,Ahmedabad,ATM,14,0,None
